"","pes21_occ_text"
"588",""
"589","CEO"
"590","-99"
"591","Retraite"
"592","préposée à la clientèle"
"593","Financial Analyst"
"594",""
"595","Fonctionnaires"
"596",""
"597","Financial advisor"
"598","president CEO of insurance brokerage"
"599",""
"600",""
"601",""
"602","-99"
"603","Administration"
"604","étudiant"
"605",""
"606",""
"607","Polar travel advisor"
"608","-99"
"609","Restaurant owner"
"610","Library Assistant"
"611","CSR"
"612",""
"613","Analyst"
"614","Éducatrice"
"615",""
"616","Enseignant"
"617",""
"618","Clerical/administration"
"619","Concierge"
"620","Printing"
"621","Employé de bureau"
"622","Registered nurse"
"623","System Administrator"
"624","landscaper"
"625","-99"
"626","Student"
"627",""
"628","Intervenante"
"629","-99"
"630",""
"631","Service"
"632","Student"
"633","General Manager"
"634",""
"635","surgeon"
"636",""
"637",""
"638","Risk manager"
"639","Fonctionnaire"
"640",""
"641","commerce"
"642","-99"
"643","Management Consultant"
"644","physician"
"645","Assistant gérant"
"646","fonctionnaire provincial"
"647",""
"648","Retired"
"649",""
"650","Power Smart Specialist"
"651",""
"652","Lab technician"
"653",""
"654","education"
"655","Student"
"656","Communications coordinator"
"657","Travail social"
"658","Interior Designer"
"659","Admin assistant"
"660","-99"
"661","Student"
"662","Unemployed"
"663",""
"664","Dentist"
"665",""
"666","Bookkeeper"
"667",""
"668","Stage Manager"
"669","-99"
"670","Coordinator"
"671","teacher"
"672","à la maison"
"673","-99"
"674","Police Officer"
"675",""
"676","Retail"
"677",""
"678","Military"
"679",""
"680","opérateur-conseillier"
"681","writer"
"682","Couturière"
"683","employee tech industry"
"684","-99"
"685",""
"686","Emploi à temps plein"
"687",""
"688","Emploi de bureau"
"689","Manager"
"690","SYSTEMS ANALYST"
"691","Admin Assistant"
"692","financial services"
"693","Real estate"
"694","retired"
"695",""
"696","Foster parent"
"697",""
"698","-99"
"699","Homemaker"
"700","Administrateur"
"701",""
"702",""
"703","Manager"
"704","-99"
"705","Technicienne paie"
"706",""
"707","Elect Engineer"
"708","enseignant"
"709","disabled"
"710",""
"711","Ingenieur"
"712","Homemaker"
"713",""
"714",""
"715",""
"716","Project manager"
"717","Editor - Writer"
"718",""
"719",""
"720",""
"721","Moa"
"722","sales"
"723",""
"724",""
"725","Chauffeure de bus à temps partiel"
"726",""
"727","gérante boulangerie"
"728","consultant"
"729","Foodservices"
"730","enseignement"
"731","Retired"
"732","Employée à temps plein"
"733","Computer Systems Engineer"
"734",""
"735","organizer"
"736",""
"737","Student"
"738",""
"739","Agriculteur"
"740","Advertising manager"
"741","Lawyer"
"742",""
"743","-99"
"744","Procurement"
"745","Real Estae Finance"
"746","Student"
"747","government national manager"
"748","Medical office administrator"
"749",""
"750","sans emploi"
"751",""
"752",""
"753","employé"
"754","secretary"
"755","-99"
"756","Consultant"
"757","Sales"
"758","FARM HAND"
"759","media"
"760",""
"761","administrative"
"762","sans emploi"
"763","Graphiste"
"764","educator"
"765","Federal Employee"
"766","banking"
"767","-99"
"768",""
"769","Musician"
"770",""
"771","Customer  service"
"772",""
"773","-99"
"774","gestionnaire"
"775","Millitaire"
"776","Conseilliere en finance"
"777","Nurse"
"778","Entrepreneur"
"779","Office manager"
"780",""
"781",""
"782",""
"783","customer service rep"
"784","disabled"
"785",""
"786","Ressources humaines"
"787",""
"788","Partner Manager"
"789","Business assistant"
"790","entertainment"
"791",""
"792","Production manager"
"793",""
"794","Teacher"
"795","Vendeur"
"796",""
"797",""
"798",""
"799","Security Officer"
"800",""
"801","-99"
"802",""
"803","Police officer"
"804","Planification financiere"
"805","Infirmière auxiliaire"
"806","-99"
"807","travailleur autonomw -conseiller marketing"
"808",""
"809","Teacher"
"810","Gestionnaire"
"811",""
"812","Relation d'aide, au communautaire, temps plein"
"813",""
"814",""
"815","Accountant"
"816","-99"
"817",""
"818","-99"
"819","traductrice"
"820",""
"821",""
"822","-99"
"823",""
"824",""
"825","electronic technician"
"826","Director"
"827",""
"828",""
"829","sales and marketing"
"830",""
"831",""
"832",""
"833","Self Employed"
"834","Teacher"
"835","Federal government administrator"
"836","Accountant"
"837",""
"838","Retired"
