Code,Occupation_Name,Nom_de_la_profession,Recent_Labour_Market_Conditions
65320,"Dry cleaning, laundry and related occupations",Personnel de blanchisseries et d'établissements de nettoyage à sec et personnel assimilé,Balance
65329,Other service support occupations,Autre personnel de soutien en service,Balance
70010,Construction managers,Directeurs/directrices de la construction,Balance
70011,Home building and renovation managers,Gestionnaires en construction et rénovation domiciliaire,Balance
70012,Facility operation and maintenance managers,Directeurs/directrices de l'exploitation et de l'entretien d'immeubles,Balance
70020,Managers in transportation,Directeurs/directrices des transports,Balance
70021,Postal and courier services managers,Directeurs/directrices des services postaux et de messageries,Balance
72010,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des machinistes et du personnel des métiers du formage, du profilage et du montage des métaux et personnel assimilé",Balance
72011,"Contractors and supervisors, electrical trades and telecommunications occupations",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en électricité et en télécommunications,Balance
72012,"Contractors and supervisors, pipefitting trades",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en tuyauterie,Balance
72013,"Contractors and supervisors, carpentry trades",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en charpenterie,Balance
72014,"Contractors and supervisors, other construction trades, installers, repairers and servicers",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des autres métiers de la construction et des services de réparation et d'installation,Balance
72020,"Contractors and supervisors, mechanic trades",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en mécanique,Balance
72021,"Contractors and supervisors, heavy equipment operator crews",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des équipes d'opérateurs d'équipement lourd,Balance
72022,"Supervisors, printing and related occupations",Surveillants/surveillantes de l'imprimerie et du personnel assimilé,Balance
72023,"Supervisors, railway transport operations",Surveillants/surveillantes des opérations du transport ferroviaire,Balance
72024,"Supervisors, motor transport and other ground transit operators",Surveillants/surveillantes du transport routier et du transport en commun,Balance
72025,"Supervisors, mail and message distribution occupations",Superviseurs/superviseures de services postaux et de messageries,Balance
72100,Machinists and machining and tooling inspectors,Machinistes et vérificateurs/vérificatrices d'usinage et d'outillage,Moderate signs of Shortage
72101,Tool and die makers,Outilleurs-ajusteurs/outilleuses-ajusteuses,Balance
72102,Sheet metal workers,Tôliers/tôlières,Moderate signs of Shortage
72103,Boilermakers,Chaudronniers/chaudronnières,Balance
72104,Structural metal and platework fabricators and fitters,Assembleurs/assembleuses et ajusteurs/ajusteuses de plaques et de charpentes métalliques,Moderate signs of Shortage
72105,Ironworkers,Monteurs/monteuses de charpentes métalliques,Balance
72106,Welders and related machine operators,Soudeurs/soudeuses et opérateurs/opératrices de machines à souder et à braser,Moderate signs of Shortage
72200,Electricians (except industrial and power system),Électriciens/électriciennes (sauf électriciens industriels/électriciennes industrielles et de réseaux électriques),Moderate signs of Shortage
72201,Industrial electricians,Électriciens industriels/électriciennes industrielles,Moderate signs of Shortage
72202,Power system electricians,Électriciens/électriciennes de réseaux électriques,Balance
72203,Electrical power line and cable workers,Monteurs/monteuses de lignes électriques et de câbles,Balance
72204,Telecommunications line and cable installers and repairers,Installateurs/installatrices et réparateurs/réparatrices de lignes et de câbles de télécommunications,Balance
72205,Telecommunications equipment installation and cable television service technicians,Techniciens/techniciennes en installation de matériel de télécommunication et en services de câblodistribution,Balance
72300,Plumbers,Plombiers/plombières,Moderate signs of Shortage
72301,"Steamfitters, pipefitters and sprinkler system installers","Tuyauteurs/tuyauteuses, monteurs/monteuses d'appareils de chauffage et poseurs/poseuses de gicleurs",Balance
72302,Gas fitters,Monteurs/monteuses d'installations au gaz,Moderate signs of Shortage
72310,Carpenters,Charpentiers-menuisiers/charpentières-menuisières,Strong signs of Shortage
72311,Cabinetmakers,Ébénistes,Moderate signs of Shortage
