"","x"
"777","journalist"
"778","property manager"
"779","music teacher, office administrator"
"780","mental healthcare program supervisor"
"781","acupuncturist and i work on medial cannabis farm"
"782","inhome care giver"
"783","health care manager"
"784","business man, truck driver, farmer"
"785","floor covering"
"786","stevador"
"787","government worker"
"788","self-employed, general contractor"
"789","public sector administration"
"790","carpenter's apprentice"
"791","fuel truck driver"
"792","telecommunications technologist"
"793","administrations"
"794","landscape consultant"
"795","instructional assistant"
"796","mechanical engineer"
"797","shipyard"
"798","real estate development manager"
"799","real estate developer"
"800","trucker"
"801","building technologist"
"802","intern excursive director of a museum gallery"
"803","environmental consultant"
"804","accounting coordinator"
"805","salesman"
"806","director of health care company"
"807","driver for a trucking company"
"808","hat design"
"809","telecommunications rigger"
"810","payroll administrator"
"811","general manager - paper mill"
"812","self employed programmer"
"813","forest technician"
"814","academic"
"815","student, however, i work with the federal government part time"
"816","computer engineer"
"817","surgeon"
"818","retired but teaching part time."
"819","dental assistant with provincial government"
"820","fracker"
"821","operations management"
"822","community support worker"
"823","student marker"
"824","student federal employee"
"825","food service"
"826","automotive technician"
"827","golf course maintenance"
"828","insurance broker"
"829","fabrication"
"830","admin assistant"
"831","cook, student"
"832","investment advisor & business owner"
"833","senior policy analyst"
"834","film maker"
"835","offshore crane operator"
"836","home support worker working with seniors and disabled"
"837","border services officer"
"838","house keeper"
"839","account payable clerk"
"840","retired military"
"841","cook in a long term care facility for seniors"
"842","air traffic specialist"
"843","vp - global operations"
"844","doctoral candidate in medical science"
"845","electronics"
"846","aviation -account manager"
"847","civil engineering tech"
"848","office administrator"
"849","municipal government worker"
"850","labourer, fish plant worker"
"851","self employeed - steam cleaning"
"852","human rights adviser (civil servant)"
"853","freight forwarder"
"854","purchaser"
"855","sales of electrical products"
"856","library technician"
"857","management consultant"
"858","federal public servant"
"859","information terchnology"
"860","film editor/movie editor (freelance)"
"861","self employed in human resources"
"862","policy adviser, public administration"
"863","student and federal employee"
"864","high school teacher"
"865","teacher catholic"
"866","electronics technologist"
"867","arpenteur"
"868","part time student, part time sales associate"
"869","construction/ estimating"
"870","production manager"
"871","warehouse manager"
"872","high performance adviser"
"873","retired law clerk"
"874","controle in a construction company"
"875","aircraft maintenance engineer"
"876","self employed - tv and media - co-owner of a tv channel"
"877","business development"
"878","senior management in advertising"
"879","manager insurance industry"
"880","massage therapist"
"881","maintenance supervisor"
"882","diabetes educator"
"883","account manager"
"884","graduate student"
"885","grocery clerk"
"886","dairy farmer"
"887","computer consultant"
"888","vice president of a coorporation"
"889","radio technologist"
"890","financial coach"
"891","automotive sales"
"892","business owner (private college)"
"893","fitness instructor and personal training"
"894","accountant cpa"
"895","musician/ reator"
"896","contractor renovator"
"897","general manager, media corporation"
"898","forensic accountant"
"899","client manager"
"900","office clerk"
"901","work for a bank"
