"","x"
"2118","ops manager"
"2119","femme à la maison"
"2120","foster parent"
"2121","retail employee"
"2122","app developer"
"2123","mental health support worker"
"2124","environment tech"
"2125","parks labourer"
"2126","barista"
"2127","cricket farmer"
"2128","daycare"
"2129","sans emploi, à la recherche d'un emploi"
"2130","government stooge"
"2131","builder"
"2132","technology manager"
"2133","media auditor"
"2134","building repair"
"2135","marketing- product snd pricing"
"2136","cruise ships"
"2137","etsy shop"
"2138","clerc"
"2139","skilled laborer"
"2140","recreationist"
"2141","retail marketing"
"2142","customer support"
"2143","travailleuse communotaire"
"2144","militaire"
"2145","superviseure"
"2146","test pilot"
"2147","clerical work"
"2148","aircraft pilot"
"2149","professional accountant and university professor"
"2150","director operations"
"2151","cartoonist"
"2152","was factory worker"
"2153","service clientèle"
"2154","public school teacher"
"2155","infirmier"
"2156","self employ"
"2157","mailman"
"2158","a la recherche d emploi"
"2159","hr / administration"
"2160","waiter"
"2161","industrial sewer"
"2162","customer service for a large auto company"
"2163","research scientist"
"2164","registered massage therapist"
"2165","human services"
"2166","janitorial"
"2167","tour guide"
"2168","security supervision"
"2169","library information officer -federal employee"
"2170","team lead"
"2171","architectural technologist"
"2172","human resources/recruiting"
"2173","child care worker"
"2174","real estate analyst"
"2175","retired journalist"
"2176","cpa"
"2177","development worker"
"2178","clinical manager"
"2179","fed. govt."
"2180","rr conductor/foreman"
"2181","retired cp"
"2182","disabled  not able to work"
"2183","it analyst"
"2184","auto sales manager"
"2185","wastewater operator"
"2186","nursing student"
"2187","govt"
"2188","steam engineering/maintenance"
"2189","airport"
"2190","fishing"
"2191","mail sorter"
"2192","grocery store manager/owner"
"2193","multi - unit manager"
"2194","justice"
"2195","industrial electrician"
"2196","xray technologist"
"2197","public services"
"2198","provincial government employee"
"2199","grocery business"
"2200","division manager"
"2201","administration clerical"
"2202","planner in telecommunications"
"2203","govt of canada"
"2204","customer service supervisor"
"2205","air traffic controller"
"2206","director of a patient care"
"2207","managerial"
"2208","hotel owner"
"2209","nursing instructor"
"2210","picker packer"
"2211","clergyperson"
"2212","technical"
"2213","analysts"
"2214","manager law"
"2215","administrator in post secondary institution"
"2216","cabinetmaker"
"2217","office manager in dental"
"2218","retired firefighter"
"2219","chid care provider"
"2220","pharmacy technician"
"2221","manual laborer"
"2222","employé temps plein"
"2223","co-propriétaire"
"2224","officer"
"2225","technologue en géomatique"
"2226","medical assistant"
"2227","property guru"
"2228","public safety"
"2229","secretarial"
"2230","early childhood education"
"2231","senior manager manufacturing"
"2232","administration retail"
"2233","pre-sales pricing support"
"2234","arts administration"
"2235","cashier grocery store"
"2236","unemployed professional fundraiser"
"2237","adjointe administrative"
"2238","restaurant owner"
"2239","quality control"
"2240","it engineer"
"2241","hydro collector"
"2242","construction consultant"
"2243","project manager- engineering"
"2244","editorial assistant"
"2245","employée"
"2246","x-ray technologist"
"2247","drafting technician"
"2248","enterprenur"
"2249","journeyman machinist/fitter"
"2250","pharma sales mgr"
"2251","government recreation"
"2252","business owner, management, sales"
"2253","director of communications"
"2254","corrections officer"
"2255","pharmacy tech"
"2256","full time homemaker"
"2257","financial specialist"
"2258","head custodian"
"2259","mechanic/instructor"
"2260","policy director in government"
"2261","minister of relegion"
"2262","audititor"
"2263","broadcast journalist"
"2264","educational psychologist"
"2265","reports coordinator"
"2266","anglican bishop"
"2267","engineering ceo"
"2268","site operator"
"2269","stay at home caregiver/parent"
"2270","bank loan officer"
"2271","work part time"
"2272","managment"
"2273","business systems analyst"
"2274","trader"
"2275","security agent"
"2276","delivery agent"
"2277","trade & development g of c"
"2278","tiremen"
"2279","teaching school"
"2280","production operations"
"2281","cook, food prep."
"2282","construction economist"
"2283","prodriver"
"2284","cust service"
"2285","fish processing"
"2286","ghgg"
"2287","in the process of starting a business"
"2288","resident manager commercial cleaning"
"2289","network technician"
"2290","self employed service industry"
"2291","retired dean"
"2292","music instructor"
"2293","analysis"
"2294","microbiologist"
"2295","manger"
"2296","crossing guard"
"2297","invalidité permanente"
"2298","affordable housing manager & developer"
"2299","permanent disability"
"2300","loader"
"2301","inventory control supervisor"
"2302","papermaker"
"2303","social service"
"2304","inside sales"
"2305","business owner/ merchandiser"
"2306","radiation technologist"
"2307","medical transcription"
"2308","fire investigator"
"2309","drafting"
"2310","taxe collector"
"2311","internal controls"
"2312","investigator"
"2313","vet tech"
"2314","landscaper"
"2315","ltd"
"2316","graphics"
"2317","coo"
"2318","fund administrator"
"2319","special ed.teacher"
"2320","former military"
"2321","administrative assistant for provincial health"
"2322","credit associate"
"2323","personal trainer"
"2324","rcmp records clerk"
"2325","part time sales"
"2326","cake decorator"
"2327","floral designer"
"2328","referral analyst for group insurance benefits"
"2329","agricultural economist"
"2330","physiotherapy"
"2331","it security analyst"
"2332","bureaucrat"
"2333","mom"
"2334","project lead in municipal government"
"2335","teacher-librarian"
"2336","manager, health and safety"
"2337","key account manager"
"2338","digital marketing specialist"
"2339","proofreader"
"2340","corporate law clerk"
"2341","m.s.w. child welfare social worker"
"2342","hi tech quality assurance specialist"
"2343","property management"
"2344","royal canadian navy"
"2345","fed govt"
"2346","travel and tourism"
"2347","tech support"
"2348","kj/dj/emcee"
"2349","customer service specialist"
"2350","logistics manager"
"2351","programmeur"
"2352","disabled/retired"
"2353","coal mine inspector"
"2354","credit union ceo"
"2355","retited"
"2356","assistant"
"2357","health administrator"
"2358","ortho tech."
"2359","it service desk."
"2360","je suis propriétaire d'une compagnie québécoise"
"2361","service level management"
"2362","customer clerk"
"2363","data entry clerk"
"2364","sick/disabled/selfemployed"
"2365","daycare owner"
"2366","provincial government worker"
"2367","phd student"
"2368","postier"
"2369","ame"
"2370","merchandise planning"
"2371","prof. engineer"
"2372","animator"
"2373","retired, maintance planner"
"2374","instructor/developer"
"2375","financial policy"
"2376","hospital pharmacist"
"2377","seamstress"
"2378","maintenance planner"
"2379","senior vice president finance"
"2380","group home counsellor"
"2381","employee"
"2382","public education"
"2383","piano teacher"
"2384","medical technology"
"2385","pharmacy technicion"
"2386","electican"
"2387","plant worker"
"2388","registered dental hygienist"
"2389","cleaning"
"2390","caregiver for an elderly lady with dementia"
"2391","railroader"
"2392","commercial lending"
"2393","arts manager"
"2394","superitendant"
"2395","it government director"
"2396","secretaire"
"2397","care aide"
"2398","deli clerk"
"2399","assistante pharmacie"
"2400","cadre"
"2401","disable"
"2402","employment"
"2403","péposée aux opérations"
"2404","former security guard"
"2405","administratrice"
"2406","accouting"
"2407","part time employment"
"2408","civil inspector"
"2409","à la maison"
"2410","payroll/accts. payable/receivablee"
"2411","infirmière clinicienne"
"2412","special events coordinator"
"2413","soutien administratif"
"2414","executive chef"
"2415","resident manager"
"2416","manager of companies"
"2417","forklift technician"
"2418","au foyer"
"2419","psycho-éducateur"
"2420","passe temps"
"2421","freelance"
"2422","retiree"
"2423","working seasonal"
"2424","artist/author"
"2425","commis a la paie"
"2426","traducteur"
"2427","directirce"
"2428","maintanence supervisor"
"2429","travail a temps plein"
"2430","comrtable"
"2431","qa engineer"
"2432","internet web developer"
"2433","volunteer"
"2434","finacial advisor"
"2435","infirmiere"
"2436","work in the office"
"2437","xray tech"
"2438","dishwasher"
"2439","training developer"
"2440","postal"
"2441","natural gas controller"
"2442","auteure"
"2443","biomedical engineering tech"
"2444","it executive"
"2445","owner/manager of a medium size manufacturing business"
"2446","purchasing agent"
"2447","aeronautical routes specialist"
"2448","educator teacher"
"2449","ouvrier de maintenance"
"2450","bureau"
"2451","no job as i cannot get one as jobs hire young people not my age people"
"2452","marketing coordinator"
"2453","disability pension"
"2454","senior care"
"2455","health care management"
"2456","market research"
"2457","software support engineer"
"2458","restaurants"
"2459","horse groom"
"2460","it, now retired"
"2461","corporate underwriting specialist"
"2462","service sector"
"2463","boucher"
"2464","administrative agent"
"2465","mgr retail store"
"2466","gerante de restaurant"
"2467","bar steward"
"2468","businesswoman"
"2469","rmt"
"2470","content developer"
"2471","tour director"
"2472","préposée aux renseignements"
"2473","éducatrice spécialisée"
"2474","procurement officer"
"2475","general caregiver"
"2476","hospital administrator"
"2477","hairstyling"
"2478","acteur"
"2479","labour supervisor"
"2480","menial labour"
"2481","sales agent"
"2482","contract administrator"
"2483","agent de bureau"
"2484","agent d'administration"
"2485","software solution architect"
"2486","smallusiness owner"
"2487","case manager"
"2488","policing"
"2489","golf caddie"
"2490","warehouseman"
"2491","special needs in education"
"2492","military lawyer"
"2493","pipeliner union work"
"2494","farming"
"2495","aide sociale"
"2496","federal gov't employee"
"2497","temps partiel"
"2498","rail traffic controller retired"
"2499","insurance brokerage"
"2500","unemployed/semi-retired"
"2501","regional sales director"
"2502","university education"
"2503","comptabilité"
"2504","vp sales & marketing"
"2505","fitness professionals"
"2506","engineering professor"
"2507","computer services"
"2508","meat packer"
"2509","institution bancaire"
"2510","finacial consultant"
"2511","senior management financial administration"
"2512","government administration"
"2513","mainly parenting, part time work a couple times a month"
"2514","chaplain"
"2515","superviseur"
"2516","science"
"2517","storyboard conform for digital animation"
"2518","logistics specialist"
"2519","on disability assistance"
"2520","sports mgmt"
"2521","federal government health executive"
"2522","aero"
"2523","seniors residence"
"2524","gestionnaire fonction publique"
"2525","independant sales agent"
"2526","broadcaster/public relations (two careers)"
"2527","accounting supervisor"
"2528","retail cashier"
"2529","aide-ebeniste"
"2530","i have no occupation i stay at home with my child"
"2531","ménage"
"2532","parts manager"
"2533","sick leave"
"2534","net tech"
"2535","lis technologist"
"2536","locomotive distributor"
"2537","strutural steel"
"2538","manager supervisor"
"2539","off on medical leave"
"2540","legal"
"2541","imit"
"2542","employment counsellor"
"2543","artist/craftsperson"
"2544","advisor"
"2545","propriétaire et ceo"
"2546","architectural technician"
"2547","not comfortable in telling you"
"2548","business consulting"
"2549","skilled trade"
"2550","nurse, now disabled stay at home mom"
"2551","opérateur chimiste"
"2552","school clean"
"2553","prepose"
"2554","fuel tech"
"2555","produce manager for safeway"
"2556","producer"
"2557","production control"
"2558","travail à temps partiel  28 heures  par semaine"
"2559","rehabilitation therapist"
"2560","mat leave"
"2561","driver instructor/examiner"
"2562","small business owner/operator"
"2563","i work at the front desk of a hotel"
"2564","portfolio manager & chief compliance officer"
"2565","agent de distribution"
"2566","government program administrator"
"2567","vendor"
"2568","thérapeute en réadaptation physique"
"2569","dnd"
"2570","continuing care assistant"
"2571","municipal recreationist"
"2572","air traffic control"
"2573","surgical assistant"
"2574","director of sales"
"2575","office manager / bookkeeper"
"2576","vp finance"
"2577","cn train station operator"
"2578","broadcaster"
"2579","hospital supply marketing systems mgr."
"2580","product and research development manager"
"2581","developmental services worker, residential counselor"
"2582","operations supervisor"
"2583","electicain"
"2584","college counsellor"
"2585","medical equipment installation"
"2586","prof. accountant"
"2587","government employee"
"2588","business developer"
"2589","technique laboratoire"
"2590","rail electrician"
"2591","investment dealer"
"2592","director of international ops for a restaurant chain"
"2593","finance and management"
"2594","photography"
"2595","outreach"
"2596","coordinator"
"2597","agente de gestion du personnel"
"2598","hvac-r"
"2599","retired medical secretary"
"2600","district chief fire department communications centre"
"2601","construction superintendent"
"2602","international marketing aviation senior analyst"
"2603","finance accounting clerk"
"2604","worker full time"
"2605","labour relations/human resources"
"2606","sr admin assistant"
"2607","dietary aide"
"2608","welder burner"
"2609","travel industry"
"2610","operatrice d'autobus"
"2611","documentation"
"2612","facilities management"
"2613","claim processing"
"2614","teaching, broadcasting, management"
"2615","marine electronic technician"
"2616","process engineer"
"2617","cafeteria supervisor"
"2618","sommelier"
"2619","community services"
"2620","infirmier clinicien"
"2621","commis"
"2622","early childhood assistant"
"2623","psw"
"2624","business person"
"2625","safety officer"
"2626","estimateur"
"2627","statisticien"
"2628","construction."
"2629","service representative"
"2630","travailleur"
"2631","occupational hygienist"
"2632","travail manuel"
"2633","health care professional"
"2634","public service ontario"
"2635","retired, volunteering"
"2636","youth sports coach"
"2637","opérateur de consoles"
"2638","landlord"
"2639","security screener at airport"
"2640","government of canada communications advisor"
"2641","electrical supervisor"
"2642","music teacher"
"2643","life insurance"
"2644","commercial banking"
"2645","general contractor"
"2646","quallity engineer"
"2647","reservoir engineer"
"2648","retired law professor"
"2649","policy advisor"
"2650","it professional for an insurance company"
"2651","retail antiques store clerk"
"2652","legal administrative assistant"
"2653","network administrator"
"2654","studying jesus"
"2655","jail guard"
"2656","entretien menager"
"2657","accounting technician"
"2658","it head"
"2659","draftsman"
"2660","daycare worker"
"2661","airline pilot"
"2662","na"
"2663","forensic serologist"
"2664","media producer"
"2665","etudiante"
"2666","senior management"
"2667","foundry worker"
"2668","directeur des achats"
"2669","reg.nurse"
"2670","love"
"2671","part time worker"
"2672","superviseur technique"
"2673","maison"
"2674","réalisateur documents vidéo pédagogiques"
"2675","administrative supervisor"
"2676","security analyst"
"2677","administrative assist"
"2678","front line supervisor"
"2679","disabled stay at home mom"
"2680","employé dans usine de fabrication de meuble"
"2681","good for all"
"2682","legal service"
"2683","conference coordinator"
"2684","public sector - provincial government"
"2685","financial services management"
"2686","inspection"
"2687","purchasing & inventory control manager"
"2688","working"
"2689","it security professional"
"2690","manager financial"
"2691","mental health/addictions"
"2692","healthcare worker"
"2693","gas station, convenience store, restaurant and retail owner now retired"
"2694","welding  inspector"
"2695","dealer communications"
"2696","operations coordinator"
"2697","sr pmo"
"2698","programer"
"2699","office management"
"2700","warehousing"
"2701","it networks engineer"
"2702","recreation director"
"2703","health services gnb"
"2704","educational worker"
"2705","electronic engineer"
"2706","administratve assistant"
"2707","online content writing"
"2708","lighting maintenance sales"
"2709","communication aide"
"2710","health sector"
"2711","ministry of health/ambulance services"
"2712","representative"
"2713","instrumentation mechanic, electrical"
"2714","manager/entrepeneur"
"2715","telecommunications analyst"
"2716","scheduling coordinator"
"2717","admin help. ops"
"2718","administration in federal gov’t"
"2719","911 dispatcher"
"2720","nurse manager"
"2721","director of professional association"
"2722","equipment sales"
"2723","captain"
"2724","public service executive"
"2725","call centre agent"
"2726","office work-health sector"
"2727","field interviews"
"2728","2"
"2729","sw engineer"
"2730","stock trader"
"2731","federal govt employee"
"2732","temporarily unemployed"
"2733","conseillère"
"2734","food inspector"
"2735","h. r. manager"
"2736","sr. financial analyst"
"2737","insurance underwrier"
"2738","maintenance worker"
"2739","horticulturist"
"2740","sales advisor"
"2741","dryman at a mine"
"2742","office manage/bookkeeper"
"2743","private sector management"
"2744","directeur"
"2745","category manager"
"2746","travail temp plein"
"2747","directrice"
"2748","musicien"
"2749","retired retail"
"2750","acting postmaster"
"2751","electrical designer"
"2752","x-ray technician"
"2753","cashier at parkade"
"2754","dual tradesman"
"2755","président d'une pme"
"2756","school administrator"
"2757","fund raising"
"2758","quality assurance"
"2759","head cook"
"2760","software architect"
"2761","executive, automotive"
"2762","senior business manager"
"2763","union staff rep"
"2764","oil"
"2765","selfemployed"
"2766","materials management"
"2767","army officer and nato civilian"
"2768","sans emploi."
"2769","professional coach/manager"
"2770","business service clerk"
"2771","retired social worker"
"2772","pay & benefits for fed govt"
"2773","government relations"
"2774","electronics in military"
"2775","weight loss coach for major weight loss company"
"2776","home based business"
"2777","control assessor"
"2778","rca"
"2779","call center representative"
"2780","rail conductor"
"2781","botanist"
"2782","data entry"
"2783","public servant - senior manager"
"2784","been looking for work for 7 months now"
"2785","organisatrice communautaire"
"2786","director, retail & commercial development"
"2787","entertainment industry"
"2788","export coordinator"
"2789","work full time"
"2790","priest"
"2791","registered respiratory therapist"
"2792","union rep"
"2793","accounting manager"
"2794","oil & gas"
"2795","telecomm technician"
"2796","emergency response"
"2797","military physician assistant"
"2798","tattoo artist"
"2799","medical office administration"
"2800","director projects"
"2801","self employed/freelance, sole proprietor"
"2802","reverend"
"2803","homemakee"
"2804","informatique"
"2805","super valu"
"2806","student services"
"2807","eye care assistant"
"2808","gst/hst auditor"
"2809","skilled labourer"
"2810","provincial"
"2811","lab assistant"
"2812","ca cpa"
"2813","quality manager"
"2814","stay at home mother"
"2815","project manager construction"
"2816","magazine editor"
"2817","municipal administrator"
"2818","fire protection"
"2819","human resources assistant"
"2820","advanced care paramedic"
"2821","federal public service administration"
"2822","electronics industry"
"2823","craftsman"
"2824","marine biologist"
"2825","broker/owner"
"2826","human resources director"
"2827","meter technician"
"2828","tradesmen"
"2829","hotel manager"
"2830","railway"
"2831","golf pro"
"2832","federal gov't worker/blue collar"
"2833","sr credit supervisior"
"2834","science/research/biological"
"2835","customs superintendent"
"2836","adminstrative assistant for td bank"
"2837","mall business owner/bakery"
"2838","warehouse person"
"2839","corporate management"
"2840","quality control food plant"
"2841","invoicing clerk"
"2842","airport worker"
"2843","trainer"
"2844","directrice de compte institution bancaire"
"2845","education teacher"
"2846","fonctionnaire federal"
"2847","vp, operations at a tech company"
"2848","psychology lab research assistant"
"2849","branch manager"
"2850","cable technician"
"2851","waste management"
"2852","career advisor"
"2853","maintance"
"2854","city worker"
"2855","senior manager, graphics production"
"2856","étudiante et travailleur autonome"
"2857","computer tech"
"2858","securité"
"2859","sale"
"2860","prefer not to answer"
"2861","ad sales"
"2862","research & insights"
"2863","flemme au foyer"
"2864","operations analyst"
"2865","provincial employee"
"2866","human resource mgt"
"2867","rn-retired"
"2868","computer programmer/analyst"
"2869","t’enchéris"
"2870","contractor/builder"
"2871","secondary school teacher"
"2872","electricien"
"2873","caster"
"2874","mecanitien"
"2875","lightkeeper"
"2876","no working"
"2877","tobacco shop cashier"
"2878","youth worker"
"2879","technical assistant"
"2880","natural gas technician"
"2881","registered nurse educator"
"2882","heavy equipment operator and owner."
"2883","court officer"
"2884","park planner"
"2885","new home sales"
"2886","bricklayer"
"2887","student information coordinator"
"2888","logistical specialist"
"2889","board of directors"
"2890","child/youth counsellor"
"2891","call operator"
"2892","physicist"
"2893","municipal administration"
"2894","writer and editor"
"2895","former supervisor"
"2896","minister of religion"
"2897","hotel"
"2898","labour relations"
"2899","preventive dental nurse"
"2900","wo4ker"
"2901","manager, human resources"
"2902","school janitor"
"2903","produce mgr, grocery store"
"2904","caregiver at a group home"
"2905","rbc"
"2906","service à la clientèle"
"2907","professionnel au gouvernement"
"2908","directrice administrative"
"2909","stay at home mom, homeschooler"
"2910","bsa"
"2911","tax prepare/ school reacher"
"2912","veterinary assistant"
"2913","infirmier dîplomé"
"2914","program director of a social enterprise creating employment for people with disabilities"
"2915","kitchen work"
"2916","retired farmer"
"2917","service teck"
"2918","labour amusement rides"
"2919","legal secretarial"
"2920","directeur usine"
"2921","front line worker with developmentally handicapped individuals"
"2922","own a contracting company"
"2923","social media manager"
"2924","it consulting services"
"2925","eucation"
"2926","case management"
"2927","internet"
"2928","ramp agent"
"2929","safety consultant"
"2930","retired from papermill and working driving taxi"
"2931","sr management"
"2932","disabled and unemployed currently"
"2933","pharmaceuticals"
"2934","human resources."
"2935","health & safety administrator"
"2936","non profit supervisor"
"2937","property appraiser"
"2938","youth services worker"
"2939","health related"
"2940","govt clerk"
"2941","crew clerk cp rail"
"2942","addictions counsellor"
"2943","forest engineer"
"2944","full time"
"2945","operations support clerk"
"2946","information systems"
"2947","executive director"
"2948","evaluateur agree"
"2949","produce supervisor"
"2950","market analyst"
"2951","garde d'enfants"
"2952","self=employed typist"
"2953","propriétaire de pme"
"2954","nuclear operator"
"2955","real estate investor"
"2956","unemployed, not actively looking"
"2957","company staff"
"2958","journalière"
"2959","bartender/waitress"
"2960","student and part time marketing employee"
"2961","buisness owner"
"2962","service industry- stocking shelves last job."
"2963","senior administrator - non profit"
"2964","business architect"
"2965","general manager of it"
"2966","accoutant"
"2967","education assitant"
"2968","disability claims adjudicator"
"2969","supply tech"
"2970","electronic engineering tech"
"2971","gouvernementale"
"2972","travaille temps plein"
"2973","handyman"
"2974","library clerk"
"2975","people manager"
"2976","transport. manager"
"2977","instrument technician"
"2978","lcbo/vintages management/consultant"
"2979","government (provincial)"
"2980","teaching master"
"2981","construction home.improvement"
"2982","wastewater treatment operator"
"2983","clerical in telecommunications"
"2984","kbkjk"
"2985","hotel management"
"2986","personal shopper"
"2987","ohs consultant"
"2988","purchasing mgr."
"2989","mother/homemaker"
"2990","senior program manager"
"2991","software support team lead"
"2992","wireperson"
"2993","sans emploi"
"2994","management consulting"
"2995","forest technology"
"2996","recreation manager"
"2997","spécialiste de la qualité"
"2998","program manager in health and social services"
"2999","addictions counselling"
"3000","health care systems business analyst"
"3001","transportation compliance"
"3002","warehouse picker"
"3003","family caregiver"
"3004","president"
"3005","night audit"
"3006","correctional manager"
"3007","technicienne en administration"
"3008","mediator"
"3009","aerospace manager"
"3010","retail was nurse for 35 years"
"3011","accouting cpa"
"3012","software development and support"
"3013","program asst at community college"
"3014","benefit administrator"
"3015","fashion design"
"3016","teleservice rep"
"3017","field service manager"
"3018","master carpenter"
"3019","info tech"
"3020","marketing admin"
"3021","digital animation"
"3022","airline agent"
"3023","circus"
"3024","health &safety"
"3025","general labour"
"3026","payroll and tax manager"
"3027","tax analyst"
"3028","car jockey for car rental"
"3029","registered midwife"
"3030","meteorologist"
"3031","customer care agent"
"3032","development analyst"
"3033","forestry engineer"
"3034","home business owner"
"3035","pet groomer"
"3036","radio reporter"
"3037","post-production artist"
"3038","senior program advisor"
"3039","shift super."
"3040","retraiter"
"3041","two administration positions at two different companies to make ends meet"
"3042","municipal lab assistant"
"3043","home builder"
"3044","fundraiser (post-secondary)"
"3045","fiber technology"
"3046","call centre manager"
"3047","hospital administration"
"3048","research"
"3049","long term care ward clerk"
"3050","secondary teacher"
"3051","secrétaire de direction"
"3052","direct support professional"
"3053","service"
"3054","stock clerk"
"3055","ota/pta"
"3056","donation attened[tent"
"3057","conseiller technique"
"3058","comercial art buyert"
"3059","esl instructor"
"3060","title searching"
"3061","accidenté du travail"
"3062","emergency service dispatcher"
"3063","cadre supérieur"
"3064","building"
"3065","child protection worker"
"3066","high school teacher/department head"
"3067","commercial painter"
"3068","assistante administrative"
"3069","agent recouvrement"
"3070","manager/analyst"
"3071","currently disabled"
"3072","mergers and acquisitions"
"3073","vente"
"3074","rehabilitation  consultant"
"3075","prof"
"3076","deisel tecnition"
"3077","policière"
"3078","ironworker"
"3079","gouvernement du quebec"
"3080","registered  nurse"
"3081","inventory control"
"3082","baker"
"3083","facteur"
"3084","daycare worker full tume"
"3085","disabled but was a photographer"
"3086","legal secratary"
"3087","sans emplois, administratice"
"3088","secretary assistant"
"3089","directeur de comptes"
"3090","animalière"
"3091","software support"
"3092","energy"
"3093","retail associate"
"3094","admi isy"
"3095","arts and entertainment"
"3096","government call center"
"3097","long hauler"
"3098","accounts payable hydro"
"3099","porter"
"3100","assistante familiale et sociale"
"3101","journaliere"
"3102","computer trainer/teacher"
"3103","mechanical trades"
"3104","customer service coordinator"
"3105","inhalothérapeute"
"3106","public service management"
"3107","mortgage lender"
"3108","directrice marketing"
"3109","health services"
"3110","not for profit organization"
"3111","maladie"
"3112","financial representative"
"3113","emergency medical disptacher"
"3114","manoeuvre"
"3115","guest relations manager"
"3116","canvasing"
"3117","research analyst"
"3118","auto-worker"
"3119","it supervisor"
"3120","commercial insurance sales"
"3121","telecommunications manager"
"3122","account managers"
"3123","instructional designer/facilitator"
"3124","environmental technologist"
"3125","drywall finisher"
"3126","educational services"
"3127","daledman"
"3128","a"
"3129","commis de plancher"
"3130","magician"
"3131","court transcriber"
"3132","school supervisor"
"3133","none"
"3134","director of business development, non-profit urban development organization"
"3135","geologist  exploration"
"3136","rna"
"3137","ett"
"3138","myr municipality"
"3139","gymnastics coach"
"3140","electrical utility"
"3141","lease administrator"
"3142","metier"
"3143","scaffolder"
"3144","inactive veterinary technologist"
"3145","port authority ceo"
"3146","credit underwriter"
"3147","speech-language pathologist"
"3148","procurement"
"3149","manager of nutrition"
"3150","looking for work"
"3151","product & documentation coordinator"
"3152","disabled, was a business systems analyst"
"3153","airline empliyee"
"3154","corporate manager"
"3155","wholesaler"
"3156","transportation supervisor"
"3157","communications coordinator"
"3158","advertising"
"3159","i have several very diverse careers that you would never believe. radically unconventional."
"3160","lifestyle consultant"
"3161","gas operator"
"3162","caissière"
"3163","adjoint administratif"
"3164","orthopedagogue"
"3165","director of a municipal division"
"3166","mlt"
"3167","public service (federal)"
"3168","instructor/consultant"
"3169","thomson reuters"
"3170","conseillère en emploi"
"3171","heating contractor"
"3172","chargée de formation"
"3173","conseiller gestion patrimoine"
"3174","working in an it department"
"3175","warehouse receiver"
"3176","post doctoral fellow"
"3177","hotel general manager"
"3178","health care sales"
"3179","manager of a grocery store"
"3180","software architect and developer"
"3181","college support staff"
"3182","book publisher"
"3183","development manager"
"3184","retail sales/customer service"
"3185","inventory management"
"3186","retired from teaching"
"3187","systems analysis"
"3188","accuntant"
"3189","nurse practitioner"
"3190","director of design"
"3191","operationsmanager"
"3192","quality assurance auditor"
"3193","automotive worker"
"3194","private music instructor / singer"
"3195","human resources manager"
"3196","stationary engineering"
"3197","superintendent of edycation and provincial government official"
"3198","admin assistant and student advisor"
"3199","day care provider"
"3200","conseillère à la vente"
"3201","computer promrammer"
"3202","seamstress/fashion sales clerk"
"3203","professional entertainer"
"3204","legal services"
"3205","bénévolat"
"3206","medical transcriptionist"
"3207","information technology specialist"
"3208","associate broker"
"3209","professionnelle"
"3210","digital consultant"
"3211","dental technician"
"3212","compensation advisor"
"3213","special education"
"3214","coodinator at a university"
"3215","exec admin"
"3216","administrateur"
"3217","logistique transport"
"3218","damage adjuster"
"3219","work"
"3220","laboratoire médical"
"3221","financial controller"
"3222","international courier"
"3223","disabled by cancer and more"
"3224","technical writer"
"3225","retired professor now working as a consulting entomologist"
"3226","représentant service technique"
"3227","telcom technician"
"3228","telecommunications technician"
"3229","had my own business"
"3230","warranty processing"
"3231","day care director"
"3232","supervisory"
"3233","radiographic technologist"
"3234","elementary school teacher"
"3235","group retirement service"
"3236","travail à temps plein"
"3237","public service manager"
"3238","conductrice d’autobus scolaire"
"3239","director in federal government"
"3240","hairsylist"
"3241","tile installer"
"3242","retired bank manager"
"3243","oil/gas production"
"3244","owner of a small printing company"
"3245","registered nurse/pastoral minister"
"3246","plumbing/heating"
"3247","sales and accounts"
"3248","canada post term employee"
"3249","engineering technologiat"
"3250","receiver"
"3251","office/business manager"
"3252","hair stylist"
"3253","directeur vente"
"3254","assistant bank manager"
"3255","teachers aide"
"3256","teacher/politician"
"3257","contrôleur de trafic maritime"
"3258","maintenance coordinator"
"3259","retired  teacher"
"3260","administrative officer,  cn engineering"
"3261","it technician"
"3262","printing"
"3263","provincial government public sector employee"
"3264","national/international credit manager"
"3265","preshool teacher"
"3266","upper level management"
"3267","maintenance man"
"3268","celibataire jamais mariee"
"3269","millwrieght"
"3270","tool and die designer"
"3271","salarié temps partiel"
"3272","self-employed professional"
"3273","vp marketing"
"3274","hydrographer"
"3275","child protection services"
"3276","account executive"
"3277","mill worker in mining"
"3278","management of a not-for-profit"
"3279","développement/soutien applications informatiques"
"3280","program director of a daycare/early childhood educator"
"3281","self employed - service"
"3282","bartender on maternity leave"
"3283","business support"
"3284","manager at saskpower"
"3285","communications & marketing"
"3286","chartered insurance professional"
"3287","special education/resource teacher—i was assaulted and permanently disabled by a violent student in my classroom in 2010"
"3288","admin. assistant"
"3289","trust officer"
"3290","new car dealer"
"3291","server, student"
"3292","small business operator"
"3293","own a bnb"
"3294","white collar/office work"
"3295","manufacturing eng."
"3296","mvd"
"3297","client rep"
"3298","retail sales employee"
"3299","provincal gov"
"3300","warehouse professional"
"3301","emt"
"3302","coiffeuse"
"3303","operations lead"
"3304","beautician"
"3305","aviation writer/photographer/historian"
"3306","health care adminisstration"
"3307","public servant upper management"
"3308","customer service associate"
"3309","maintenance specialist"
"3310","spring maker"
"3311","engraver and property developer"
"3312","production planner"
"3313","fitness trainer"
"3314","not for profit coordinator"
"3315","professional forester"
"3316","grafter"
"3317","employed"
"3318","on sick leave"
